presentiment,anticipatory fear; premonition,,
eulogy,formal praise panegyric,,
coagulation,change to a thick and solid state,,
shard,A piece of broken pottery,,
pilferer,to steal, especially in small quantities,
perish,be destroyed decay,,
connote,Suggest or imply in addition to the precise, literal meaning,
clientele,customers,,
alloy,to debase by mixing with something inferior,,
gullible,easily gulled,,
calipers,metal supports attached to the legs measuring instrument,,
reminiscent,suggest something in the past,,
fidelity,loyalty accuracy,,
predominate,have more power than others,,
knit,draw together; unite firmly,,
tonic,something giving strength or energy,,
timid,shy easily frightened,,
introspection,examining one's own thoughts and feelings,,
paradigm,a model example or pattern,,
gait,a manner of walking, stepping, or running
introvert,one who turns towards himself,,
moribund,in a dying state; near death,,
tadpole,form of a frog when it leaves the egg,,
ambivalent,having both of two contrary meanings,,
ingest,take in by swallowing,,
erratic,irregular in behaviour or opinion,,
entice,attract, lure,
vivacious,lively high-spirited,,
anguish,severe suffering,,
complaisant,trying to please; obliging,,
grievous,causing grief or pain; serious dire grave,,
ascend,go or come up,,
judicious,sound in judgment; wise,,
submerge,put under water liquid sink out of sight,,
indistinct,not easily heard; not clearly marked,,
embezzle,use in a wrong way for one's own benefit,,
renowned,celebrated; famous,,
partisan,one-sided committed to a party biased or prejudiced,,
catalyst,substance that causes speeding up,,
sheath,cover for the blade of a weapon or a tool,,
narcissism,Self-love,,
yeoman,man owning small estate; middle-class farmer,,
malleable,yielding easily shaped; moldable; adapting,,
steeply,rising or falling sharply,,
patron,regular customer person who gives support,,
relapse,fall back again,,
shallow,little depth; not earnest,,
retrospective,Looking back on past,,
agile,active; quick-moving,,
scent,smell (especially pleasant),,
plea,request,,
abide,be faithful; to endure,,
moderation,quality of being limited; not extreme,,
abhor,to hate; to detest,,
disproof,proof to the contrary,,
drowsiness,feeling sleepy half asleep,,
vigorous,strong energetic,,
garrulous,too talkative,,
arcane,known or understood by very few,,
encapsulate,enclose in capsule,,
chortle,loud chuckle of pleasure or amusement,,
braggart,boastful,,
dullard,a stupid, insensitive person,
warrant,authority written order guarantee,,
aberration,straying away from what is normal,,
hospitable,liking to give hospitality,,
tractable,easily controlled or guided,,
permeate,spread into every part of,,
legacy,Bequest or inheritance,,
flimsy,lacking solidarity, strength,
nihilism,total rejection of all religious and moral beliefs,,
dupe,cheat make a fool of,,
concur,agree in opinion happen together,,
redeem,get back by payment compensate,,
ameliorate,improve; make better,,
auxiliary,helping; supporting,,
philanthropist,one who loves mankind,,
colloquial,involving or using conversation.,,
arrogance,proud; superior manner of behaviour,,
audacious,Bold,,
sobriety,quality or condition of being sober,,
aggravate,make worse; irritate,,
livid,Furiously angry, enraged,
sanity,health of mind soundness of judgment,,
unscathed,unharmed unhurt,,
brittle,easily broken,,
foster,nurture; care for,,
ambidextrous,able to use the left hand or the right equally well,,
impromptu,without preparation,,
scribble,write hastily,,
connoisseur,a person with good judgement (e.g.. in art),,
pluck,pull the feathers off pick (e.g.. flowers),,
bewilder,puzzle; confuse,,
liberality,free giving; generosity,,
impermeable,that cannot be permeated,,
boisterous,noisy; restraint,,
infuriate,fill with fury or rage,,
affinity,close connection; relationship,,
stride,walk with long steps,,
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures,,
accolade,praise; approval,,
treacherous,not to be trusted; perfidious,
gallant,brave;behaves well with women,
sequence,succession connected line of,,
allegiance,duty support loyalty,,
sluggard,lazy slow-moving person,,
suffocate,cause or have difficulty in breathing,,
enduring,lasting,,
stray,wander; lose one's way,,
fragile,easily injured broken or destroyed,,
extinct,no longer active,,
perjury,willful FALSE statement unlawful act,,
combustion,process of burning,,
endorse,write one's name on the back of,,
edify,instruct; correct morally,,
brass,yellow metal (mixing copper and zinc),,
cordial,warm and sincere,,
heterogeneous,made up of different kinds,,
jabber,talk excitedly; utter rapidly,,
ossified,turned to bone; hardened like bone; Inflexible,,
disrobe,undress,,
apt,well-suited; quick-witted,,
correlate,have a mutual relation,,
surcharge,additional load/charge,,
precursors,a person or thing that precedes; as in a process or job.,
weigh,measure how heavy something is,,
recitals,a number of performance of music,,
refine,make or become pure cultural,,
engulf,swallow up,,
spear,weapon with a metal point on a long shaft,,
asterisk,the mark * (e.g.. omitted letters),,
conceal,hide keep secret,,
sponge,porous rubber for washing live at once expense,,
massacre,cruel killing of a large number of people,,
abscond,to go away suddenly (to avoid arrest),,
cumbersome,burdensome; heavy and awkward to carry,,
resuscitation,coming back to consciousness,,
torque,twisting force causing rotation,,
appease,make quiet or calm,,
sadistic,Cruel,,
acumen,Keen, quick, accurate insight or judgment
abstruse,difficult to comprehend; obscure,,
woo,try to win,,
writ,written order,,
repulsive,causing a feeling of disgust,,
misanthrope,person who hates mankind,,
fragrant,sweet-smelling,,
equilibrium,state of being balanced,,
premature,doing or happening something before the right time,,
edible,fit to be eaten/not poisonous,,
loll,rest to sit or stand in a lazy way hang (dog's tongue),,
chisel,steel tool for shaping materials,,
lampoon,publicly mock or ridicule,,
enzyme,catalyst,,
euphoria,elation state of pleasant excitement,,
abysmal,extreme bad,,
affable,polite and friendly,,
repel,refuse to accept/cause dislike,,
reiterate,say or do again several times,,
rejuvenation,becoming young in nature or appearance,,
solvent,of the power of forming a solution,,
articulate,speak distinctly; connect by joints,,